SARO NUMBER,AMOUNT,APPROVED DATE,RELEASED DATE,DEPARTMENT,AGENCY,OPERATING UNIT,PURPOSE,REMARKS
SARO-ROXII-20-0005916,"941,427.00",04/02/2020 15:49:25,04/03/2020 16:44:52,07 - Department of Education (DepEd),001 - Office of the Secretary,0912404 - V.F. Grino National High School,To cover FY 2018 Performance-Based Bonus (PBB).,
SARO-ROXII-20-0005914,"2,136,201.00",04/02/2020 15:47:59,04/03/2020 16:44:52,07 - Department of Education (DepEd),001 - Office of the Secretary,0912402 - Tacurong National High School,To cover FY 2018 Performance-Based Bonus (PBB).,
SARO-ROXII-20-0005912,"9,294,269.00",04/02/2020 15:47:27,04/03/2020 16:44:52,07 - Department of Education (DepEd),001 - Office of the Secretary,0812009 - Division of Tacurong City,To cover FY 2018 Performance-Based Bonus (PBB).,
SARO-ROX-20-0005878,"202,000.00",04/02/2020 15:09:53,04/03/2020 16:00:08,07 - Department of Education (DepEd),001 - Office of the Secretary,0910168 - Misamis Oriental General Comprehensive High School,"Release of allotment to cover the 25% of RLIP requirements due to compensation adjustment for civilian personnel, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005877,"1,986,000.00",04/02/2020 15:09:19,04/03/2020 16:00:08,07 - Department of Education (DepEd),001 - Office of the Secretary,0910168 - Misamis Oriental General Comprehensive High School,"Release of allotment to cover the 25% of 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005876,"62,000.00",04/02/2020 15:08:46,04/03/2020 16:00:08,07 - Department of Education (DepEd),001 - Office of the Secretary,0910167 - Medina National Comprehensive High School,"Release of allotment to cover the 25% of RLIP requirements due to compensation adjustment for civilian personnel, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005875,"607,000.00",04/02/2020 15:08:12,04/03/2020 16:00:08,07 - Department of Education (DepEd),001 - Office of the Secretary,0910167 - Medina National Comprehensive High School,"Release of allotment to cover the 25% of 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005873,"29,000.00",04/02/2020 15:06:36,04/03/2020 16:00:08,07 - Department of Education (DepEd),001 - Office of the Secretary,0910155 - Libertad National High School,"Release of allotment to cover the 25% of RLIP requirements due to compensation adjustment for civilian personnel, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005872,"23,000.00",04/02/2020 15:01:10,04/03/2020 16:00:08,07 - Department of Education (DepEd),001 - Office of the Secretary,0910264 - Tubaran National High School,"Release of allotment to cover 25% of the RLIP requirements due to compensation adjustment, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005871,"223,000.00",04/02/2020 15:00:45,04/03/2020 16:00:08,07 - Department of Education (DepEd),001 - Office of the Secretary,0910264 - Tubaran National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005868,"42,000.00",04/02/2020 15:00:03,04/03/2020 16:00:08,07 - Department of Education (DepEd),001 - Office of the Secretary,0910262 - Tomas Cabili National High School,"Release of allotment to cover 25% of the RLIP requirements due to compensation adjustment, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005867,"410,000.00",04/02/2020 14:59:27,04/03/2020 15:56:34,07 - Department of Education (DepEd),001 - Office of the Secretary,0910262 - Tomas Cabili National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005865,"22,000.00",04/02/2020 14:59:02,04/03/2020 15:56:34,07 - Department of Education (DepEd),001 - Office of the Secretary,0910261 - Suarez National High School,"Release of allotment to cover 25% of the RLIP requirements due to compensation adjustment, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005863,"213,000.00",04/02/2020 14:58:35,04/03/2020 15:56:34,07 - Department of Education (DepEd),001 - Office of the Secretary,0910261 - Suarez National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005861,"7,000.00",04/02/2020 14:58:10,04/03/2020 15:56:34,07 - Department of Education (DepEd),001 - Office of the Secretary,0910260 - Rogongon Agricultural High School,"Release of allotment to cover 25% of the RLIP requirements due to compensation adjustment, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005859,"67,000.00",04/02/2020 14:57:42,04/03/2020 15:56:34,07 - Department of Education (DepEd),001 - Office of the Secretary,0910260 - Rogongon Agricultural High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005857,"22,000.00",04/02/2020 14:57:15,04/03/2020 15:56:34,07 - Department of Education (DepEd),001 - Office of the Secretary,0910258 - Maria Cristina National High School,"Release of allotment to cover 25% of the RLIP requirements due to compensation adjustment, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005855,"213,000.00",04/02/2020 14:56:49,04/03/2020 15:56:34,07 - Department of Education (DepEd),001 - Office of the Secretary,0910258 - Maria Cristina National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005852,"191,000.00",04/02/2020 14:56:22,04/03/2020 15:56:34,07 - Department of Education (DepEd),001 - Office of the Secretary,0910254 - Iligan City National High School,"Release of allotment to cover 25% of the RLIP requirements due to compensation adjustment, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005850,"1,877,000.00",04/02/2020 14:55:49,04/03/2020 15:56:34,07 - Department of Education (DepEd),001 - Office of the Secretary,0910254 - Iligan City National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005847,"29,000.00",04/02/2020 14:55:27,04/03/2020 15:56:34,07 - Department of Education (DepEd),001 - Office of the Secretary,0910253 - Iligan City National School of Fisheries,"Release of allotment to cover 25% of the RLIP requirements due to compensation adjustment, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005845,"289,000.00",04/02/2020 14:55:02,04/03/2020 15:56:34,07 - Department of Education (DepEd),001 - Office of the Secretary,0910253 - Iligan City National School of Fisheries,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005842,"87,000.00",04/02/2020 14:54:34,04/03/2020 15:56:34,07 - Department of Education (DepEd),001 - Office of the Secretary,0910252 - Iligan City East National High School (Sta. Filomena),"Release of allotment to cover 25% of the RLIP requirements due to compensation adjustment, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005840,"858,000.00",04/02/2020 14:54:10,04/03/2020 15:56:34,07 - Department of Education (DepEd),001 - Office of the Secretary,0910252 - Iligan City East National High School (Sta. Filomena),"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005838,"32,000.00",04/02/2020 14:53:47,04/03/2020 15:56:34,07 - Department of Education (DepEd),001 - Office of the Secretary,0910242 - Dalipuga National High School,"Release of allotment to cover 25% of the RLIP requirements due to compensation adjustment, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005836,"318,000.00",04/02/2020 14:53:18,04/03/2020 15:56:34,07 - Department of Education (DepEd),001 - Office of the Secretary,0910242 - Dalipuga National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005834,"12,000.00",04/02/2020 14:52:43,04/03/2020 15:56:34,07 - Department of Education (DepEd),001 - Office of the Secretary,0910241 - Bunawan National High School,"Release of allotment to cover 25% of the RLIP requirements due to compensation adjustment, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005832,"117,000.00",04/02/2020 14:52:17,04/03/2020 15:56:34,07 - Department of Education (DepEd),001 - Office of the Secretary,0910241 - Bunawan National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005829,"5,000.00",04/02/2020 14:51:54,04/03/2020 15:56:34,07 - Department of Education (DepEd),001 - Office of the Secretary,0910240 - Bunawan Agricultural High School,"Release of allotment to cover 25% of the RLIP requirements due to compensation adjustment, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005827,"50,000.00",04/02/2020 14:51:24,04/03/2020 15:56:34,07 - Department of Education (DepEd),001 - Office of the Secretary,0910240 - Bunawan Agricultural High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005825,"28,000.00",04/02/2020 14:51:02,04/03/2020 15:56:34,07 - Department of Education (DepEd),001 - Office of the Secretary,"0910238 - Acelo C. Badelles, Sr. Memorial High School (Tipanoy NHS)","Release of allotment to cover 25% of the RLIP requirements due to compensation adjustment, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005822,"270,000.00",04/02/2020 14:50:29,04/03/2020 15:54:46,07 - Department of Education (DepEd),001 - Office of the Secretary,"0910238 - Acelo C. Badelles, Sr. Memorial High School (Tipanoy NHS)","Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005806,"287,000.00",04/02/2020 14:44:19,04/03/2020 15:54:46,07 - Department of Education (DepEd),001 - Office of the Secretary,0910155 - Libertad National High School,"Release of allotment to cover the 25% of 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005801,"50,000.00",04/02/2020 14:43:07,04/03/2020 15:54:46,07 - Department of Education (DepEd),001 - Office of the Secretary,0910132 - Alubijid National Comprehensive High School,"Release of allotment to cover the 25% of RLIP requirements due to compensation adjustment for civilian personnel, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005798,"488,000.00",04/02/2020 14:42:42,04/03/2020 15:54:46,07 - Department of Education (DepEd),001 - Office of the Secretary,0910132 - Alubijid National Comprehensive High School,"Release of allotment to cover the 25% of 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005795,"41,000.00",04/02/2020 14:42:05,04/03/2020 15:54:46,07 - Department of Education (DepEd),001 - Office of the Secretary,0910148 - Initao National Comprehensive High School,"Release of allotment to cover the 25% of RLIP requirements due to compensation adjustment for civilian personnel, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005793,"407,000.00",04/02/2020 14:41:36,04/03/2020 15:54:46,07 - Department of Education (DepEd),001 - Office of the Secretary,0910148 - Initao National Comprehensive High School,"Release of allotment to cover the 25% of 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005790,"40,000.00",04/02/2020 14:41:04,04/03/2020 15:54:46,07 - Department of Education (DepEd),001 - Office of the Secretary,0910154 - Laguindingan National High School,"Release of allotment to cover the 25% of RLIP requirements due to compensation adjustment for civilian personnel, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005787,"391,000.00",04/02/2020 14:40:37,04/03/2020 15:54:46,07 - Department of Education (DepEd),001 - Office of the Secretary,0910154 - Laguindingan National High School,"Release of allotment to cover the 25% of 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005732,"28,000.00",04/02/2020 13:51:19,04/03/2020 15:54:46,07 - Department of Education (DepEd),001 - Office of the Secretary,0910061 - Camiguin National High School,"Release of allotment to cover 25% of the RLIP requirements due to compensation adjustment, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005701,"3,790,000.00",04/02/2020 13:39:38,04/03/2020 15:54:46,07 - Department of Education (DepEd),001 - Office of the Secretary,0810005 - Division of Misamis Oriental,"Release of allotment to cover the 25% of RLIP requirements due to compensation adjustment for civilian personnel, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005698,"37,328,000.00",04/02/2020 13:39:11,04/03/2020 15:54:46,07 - Department of Education (DepEd),001 - Office of the Secretary,0810005 - Division of Misamis Oriental,"Release of allotment to cover the 25% of 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005693,"62,000.00",04/02/2020 13:36:30,04/03/2020 15:54:46,07 - Department of Education (DepEd),001 - Office of the Secretary,0910041 - Manolo Fortich National High School,"Release of allotment to cover the 25% of the RLIP requirement due to compensation adjustment, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005691,"607,000.00",04/02/2020 13:35:58,04/03/2020 15:54:46,07 - Department of Education (DepEd),001 - Office of the Secretary,0910041 - Manolo Fortich National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005689,"79,000.00",04/02/2020 13:35:29,04/03/2020 15:54:46,07 - Department of Education (DepEd),001 - Office of the Secretary,0910008 - Bukidnon National School of Home Industries,"Release of allotment to cover the 25% of the RLIP requirement due to compensation adjustment, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005686,"777,000.00",04/02/2020 13:34:58,04/03/2020 15:54:46,07 - Department of Education (DepEd),001 - Office of the Secretary,0910008 - Bukidnon National School of Home Industries,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005683,"5,704,000.00",04/02/2020 13:34:27,04/03/2020 15:54:46,07 - Department of Education (DepEd),001 - Office of the Secretary,0810001 - Division of Bukidnon,"Release of allotment to cover the 25% of the RLIP requirement due to compensation adjustment, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005681,"56,185,000.00",04/02/2020 13:33:53,04/03/2020 15:54:46,07 - Department of Education (DepEd),001 - Office of the Secretary,0810001 - Division of Bukidnon,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005680,"270,000.00",04/02/2020 13:33:05,04/03/2020 15:54:46,07 - Department of Education (DepEd),001 - Office of the Secretary,0910061 - Camiguin National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005679,"621,000.00",04/02/2020 13:32:37,04/03/2020 15:54:46,07 - Department of Education (DepEd),001 - Office of the Secretary,0810002 - Division of Camiguin,"Release of allotment to cover 25% of the RLIP requirements due to compensation adjustment, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005678,"6,123,000.00",04/02/2020 13:32:06,04/03/2020 15:54:46,07 - Department of Education (DepEd),001 - Office of the Secretary,0810002 - Division of Camiguin,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROIX-20-0005677,"28,114.00",04/02/2020 13:10:04,04/02/2020 14:44:29,07 - Department of Education (DepEd),001 - Office of the Secretary,0809002 - Division of Zamboanga del Sur,"To cover the payment of Terminal Leave Benefits of Ms. Helen C. Buzarang, former Teacher I per attached List of Actual Retirees to be Paid (LARP) No. 2020-01-007",
SARO-ROX-20-0005663,"13,382,000.00",04/02/2020 11:36:36,04/03/2020 15:52:45,08 - State Universities and Colleges (SUCs),091 - Central Mindanao University,0000000 - Central Mindanao University,"Release of allotment to cover the 1st tranche of the compensation adjustment (January to December 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROX-20-0005662,"1,276,000.00",04/02/2020 11:34:39,04/03/2020 15:52:45,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800149 - Bukidnon 3rd District Engineering Office,"Release of allotment to cover the 1st tranche of the compensation adjustment (January to December 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
