NCA NUMBER,NCA TYPE,APPROVED DATE,RELEASED DATE,DEPARTMENT,AGENCY,OPERATING UNIT,AMOUNT,PURPOSE,REMARKS
NCA-ROXII-20-0004816,REG,04/02/20 15:45:51,04/03/2020 16:38:26,Department of Education (DepEd),Office of the Secretary,Bambad National High School,"952,702.00",To cover the cash requirements for FY 2018 Performance-Based Bonus,
NCA-ROXII-20-0004816,REG,04/02/20 15:45:51,04/03/2020 16:38:26,Department of Education (DepEd),Office of the Secretary,Isulan National High School,"1,986,238.00",To cover the cash requirements for FY 2018 Performance-Based Bonus,
NCA-ROXII-20-0004816,REG,04/02/20 15:45:51,04/03/2020 16:38:26,Department of Education (DepEd),Office of the Secretary,Esperanza National High School,"3,094,532.00",To cover the cash requirements for FY 2018 Performance-Based Bonus,
NCA-ROXII-20-0004816,REG,04/02/20 15:45:51,04/03/2020 16:38:26,Department of Education (DepEd),Office of the Secretary,Bagumbayan National High School,"766,452.00",To cover the cash requirements for FY 2018 Performance-Based Bonus,
NCA-ROXII-20-0004816,REG,04/02/20 15:45:51,04/03/2020 16:38:26,Department of Education (DepEd),Office of the Secretary,Division of Sultan Kudarat,"65,697,715.00",To cover the cash requirements for FY 2018 Performance-Based Bonus,
NCA-ROVII-20-0004813,APB,04/02/20 14:30:17,04/03/2020 08:37:30,Department of Education (DepEd),Office of the Secretary,Division of Cebu Province,"856,368.00",To cover payment for terminal leave benefits of retired employees per attached List of Actual Retirees to be Paid (Annex B).,
NCA-ROVII-20-0004812,REG,04/02/20 14:29:24,04/03/2020 08:37:30,Department of Education (DepEd),Office of the Secretary,Santander National High School,"1,750,000.00",To cover additional operating requirements for CY 2020,
NCA-ROIX-20-0004810,TLRG,04/02/20 13:09:10,04/02/2020 14:44:04,Department of Education (DepEd),Office of the Secretary,Division of Zamboanga del Sur,"28,114.00","To cover the payment of Terminal Leave Benefits of Ms. Helen C. Buzarang, former Teacher I per attached List of Actual Retirees to be Paid (LARP) No. 2020-01-007",
NCA-ROX-20-0004809,REG,04/02/20 11:32:51,04/03/2020 15:51:03,Department of Public Works and Highways (DPWH),Office of the Secretary,Bukidnon 3rd District Engineering Office,"122,046,000.00","To cover the regular operating and RLIP requirements for the second quarter (April to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROXII-20-0004808,REG,04/02/20 11:02:22,04/02/2020 13:39:46,Department of Education (DepEd),Office of the Secretary,Esperanza National High School,"403,933.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROXII-20-0004808,REG,04/02/20 11:02:22,04/02/2020 13:39:46,Department of Education (DepEd),Office of the Secretary,Division of Koronadal City,"12,959,178.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROXII-20-0004808,REG,04/02/20 11:02:22,04/02/2020 13:39:46,Department of Education (DepEd),Office of the Secretary,Saravia National High School,"631,085.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROXII-20-0004808,REG,04/02/20 11:02:22,04/02/2020 13:39:46,Department of Education (DepEd),Office of the Secretary,Marbel 7 National High School,"522,872.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROXII-20-0004808,REG,04/02/20 11:02:22,04/02/2020 13:39:46,Department of Education (DepEd),Office of the Secretary,Koronadal National Comprehensive High School,"4,883,602.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROX-20-0004807,REG,04/02/20 10:54:48,04/03/2020 15:51:03,Department of Education (DepEd),Office of the Secretary,Division of Lanao del Norte,"1,690,257.00","To cover additional operating requirements for the months of April to June, 2020.",
NCA-BMB-C-20-0004806,SA,04/02/20 10:47:16,04/03/2020 13:29:56,Budgetary Support to Government Corporations (BSGC),Development Bank of the Philippines,,"500,000,000.00",To cover the funding requirements for the implementation of the Rice Competitiveness Enhancement Fund Programs pursuant to Section 13 of the Republic Act No. 11203 or the Rice Liberalization Act.,
NCA-ROX-20-0004805,REG,04/02/20 10:41:36,04/03/2020 15:51:02,Department of Education (DepEd),Office of the Secretary,Division of Malaybalay City,"215,445,000.00","To cover regular operating and RLIP requirements for the 2nd quarter (April-June 2020).  Also included in the release is the 1st Tranche of the Compensation Adjustment (January - June, 2020) for civilian personnel including related costs as authorized under R.A No. 11466 and NBC No. 579.",
NCA-ROIX-20-0004804,REG,04/02/20 10:37:04,04/02/2020 14:00:59,Department of Education (DepEd),Office of the Secretary,Polanco National High School,"219,000.00",To cover additional operating requirements for FY 2020,
NCA-ROVII-20-0004803,REG,04/02/20 10:34:24,04/03/2020 08:37:30,Department of Education (DepEd),Office of the Secretary,Division of Cebu Province,"140,422,000.00",To cover additional operating requirements for the first semester CY 2020.,
NCA-ROVII-20-0004802,REG,04/02/20 10:09:14,04/03/2020 08:37:29,Department of Education (DepEd),Office of the Secretary,Division of Mandaue City,"727,558.00",To cover additional operating requirements for CY 2020,
NCA-ROVII-20-0004801,APB,04/02/20 10:07:57,04/03/2020 08:37:29,Department of Health (DOH),Office of the Secretary,Governor Celestino Gallares Memorial Hospital,"56,259.00","To cover payment of terminal leave benefits of Mr. Teotimo U. Sarabia, optional retiree",
NCA-ROVII-20-0004800,REG,04/02/20 10:06:53,04/03/2020 12:25:29,Department of Education (DepEd),Office of the Secretary,Guba National High School,"320,000.00",To cover additional operating requirements for CY 2020,
NCA-ROXII-20-0004799,REG,04/02/20 10:02:23,04/02/2020 13:39:45,Department of Education (DepEd),Office of the Secretary,Libertad National High School,"2,212,915.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROXII-20-0004799,REG,04/02/20 10:02:23,04/02/2020 13:39:45,Department of Education (DepEd),Office of the Secretary,T'boli National High School,"1,359,199.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROXII-20-0004799,REG,04/02/20 10:02:23,04/02/2020 13:39:45,Department of Education (DepEd),Office of the Secretary,Maltana National High School,"593,131.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROXII-20-0004799,REG,04/02/20 10:02:23,04/02/2020 13:39:45,Department of Education (DepEd),Office of the Secretary,Sto. Niño National High School,"1,244,594.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROXII-20-0004799,REG,04/02/20 10:02:23,04/02/2020 13:39:45,Department of Education (DepEd),Office of the Secretary,Polomolok National High School,"1,270,156.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROXII-20-0004799,REG,04/02/20 10:02:23,04/02/2020 13:39:45,Department of Education (DepEd),Office of the Secretary,Norala National High School,"1,160,105.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROXII-20-0004799,REG,04/02/20 10:02:23,04/02/2020 13:39:45,Department of Education (DepEd),Office of the Secretary,Banga National High School,"1,208,505.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROXII-20-0004799,REG,04/02/20 10:02:23,04/02/2020 13:39:45,Department of Education (DepEd),Office of the Secretary,Lamian National High School,"615,791.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROXII-20-0004799,REG,04/02/20 10:02:23,04/02/2020 13:39:45,Department of Education (DepEd),Office of the Secretary,Lapuz National High School,"345,113.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROXII-20-0004799,REG,04/02/20 10:02:23,04/02/2020 13:39:45,Department of Education (DepEd),Office of the Secretary,Tupi  National High School,"1,864,448.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROXII-20-0004799,REG,04/02/20 10:02:23,04/02/2020 13:39:45,Department of Education (DepEd),Office of the Secretary,Division of South Cotabato,"70,106,813.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROXII-20-0004799,REG,04/02/20 10:02:23,04/02/2020 13:39:45,Department of Education (DepEd),Office of the Secretary,Sto. Niño  National School of Arts and Trades,"318,476.00",To cover the cash requirements for FY 2018 Performance Based Bonus (PBB).,
NCA-ROXII-20-0004798,REG,04/02/20 09:50:42,04/02/2020 13:39:44,Department of Education (DepEd),Office of the Secretary,Banate National High School,"711,451.00",To cover funding requirements for the grant of FY 2018 Performance-Based Bonus.,
NCA-ROXII-20-0004798,REG,04/02/20 09:50:42,04/02/2020 13:39:44,Department of Education (DepEd),Office of the Secretary,Glan School of Arts and Trades,"1,364,833.00",To cover funding requirements for the grant of FY 2018 Performance-Based Bonus.,
NCA-ROXII-20-0004798,REG,04/02/20 09:50:42,04/02/2020 13:39:44,Department of Education (DepEd),Office of the Secretary,Pangyan National High School,"653,050.00",To cover funding requirements for the grant of FY 2018 Performance-Based Bonus.,
NCA-ROXII-20-0004798,REG,04/02/20 09:50:42,04/02/2020 13:39:44,Department of Education (DepEd),Office of the Secretary,Glan Padidu National High School,"513,769.00",To cover funding requirements for the grant of FY 2018 Performance-Based Bonus.,
NCA-ROXII-20-0004798,REG,04/02/20 09:50:42,04/02/2020 13:39:44,Department of Education (DepEd),Office of the Secretary,Lun Pandidu National High School,"1,015,586.00",To cover funding requirements for the grant of FY 2018 Performance-Based Bonus.,
NCA-ROXII-20-0004798,REG,04/02/20 09:50:42,04/02/2020 13:39:44,Department of Education (DepEd),Office of the Secretary,Malalag National High School,"900,212.00",To cover funding requirements for the grant of FY 2018 Performance-Based Bonus.,
NCA-ROXII-20-0004798,REG,04/02/20 09:50:42,04/02/2020 13:39:44,Department of Education (DepEd),Office of the Secretary,"Leonard Young, Sr. National High School","861,455.00",To cover funding requirements for the grant of FY 2018 Performance-Based Bonus.,
NCA-ROXII-20-0004798,REG,04/02/20 09:50:42,04/02/2020 13:39:44,Department of Education (DepEd),Office of the Secretary,Division of Sarangani,"61,213,052.00",To cover funding requirements for the grant of FY 2018 Performance-Based Bonus.,
NCA-ROXII-20-0004798,REG,04/02/20 09:50:42,04/02/2020 13:39:44,Department of Education (DepEd),Office of the Secretary,James L. Chiongbian National Trade School,"1,060,893.00",To cover funding requirements for the grant of FY 2018 Performance-Based Bonus.,
NCA-ROXII-20-0004798,REG,04/02/20 09:50:42,04/02/2020 13:39:44,Department of Education (DepEd),Office of the Secretary,Alabel National High School,"1,451,460.00",To cover funding requirements for the grant of FY 2018 Performance-Based Bonus.,
NCA-ROXII-20-0004798,REG,04/02/20 09:50:42,04/02/2020 13:39:44,Department of Education (DepEd),Office of the Secretary,Malandag National High School,"1,189,641.00",To cover funding requirements for the grant of FY 2018 Performance-Based Bonus.,
NCA-ROXII-20-0004798,REG,04/02/20 09:50:42,04/02/2020 13:39:44,Department of Education (DepEd),Office of the Secretary,Colon National High School,"913,571.00",To cover funding requirements for the grant of FY 2018 Performance-Based Bonus.,
NCA-ROXII-20-0004798,REG,04/02/20 09:50:42,04/02/2020 13:39:44,Department of Education (DepEd),Office of the Secretary,Malapatan National High School,"1,174,954.00",To cover funding requirements for the grant of FY 2018 Performance-Based Bonus.,
NCA-ROXII-20-0004797,REG,04/02/20 09:47:08,04/02/2020 13:39:44,Department of Education (DepEd),Office of the Secretary,Labangal National High School,"1,445,637.00","To cover the FY 2018 Performance Based Bonus authorized under EO No. 80, s. 2012 and EO No. 201, s. 2016 of eligible personnel.",
NCA-ROXII-20-0004797,REG,04/02/20 09:47:08,04/02/2020 13:39:44,Department of Education (DepEd),Office of the Secretary,Ireneo Santiago National High School,"2,186,462.00","To cover the FY 2018 Performance Based Bonus authorized under EO No. 80, s. 2012 and EO No. 201, s. 2016 of eligible personnel.",
NCA-ROXII-20-0004796,REG,04/02/20 09:47:08,04/03/2020 16:38:25,Department of Education (DepEd),Office of the Secretary,Division of General Santos City,"40,431,159.00","To cover the FY 2018 Performance Based Bonus authorized under EO No. 80, s. 2012 and EO No. 201, s. 2016 of eligible personnel.",
NCA-ROXII-20-0004796,REG,04/02/20 09:47:08,04/03/2020 16:38:25,Department of Education (DepEd),Office of the Secretary,Fatima National High School,"2,533,105.00","To cover the FY 2018 Performance Based Bonus authorized under EO No. 80, s. 2012 and EO No. 201, s. 2016 of eligible personnel.",
NCA-ROXII-20-0004796,REG,04/02/20 09:47:08,04/03/2020 16:38:25,Department of Education (DepEd),Office of the Secretary,General Santos City National Secondary School of Arts and Trade,"1,874,747.00","To cover the FY 2018 Performance Based Bonus authorized under EO No. 80, s. 2012 and EO No. 201, s. 2016 of eligible personnel.",
NCA-ROXII-20-0004796,REG,04/02/20 09:47:08,04/03/2020 16:38:25,Department of Education (DepEd),Office of the Secretary,Bula National School of Fisheries,"1,071,425.00","To cover the FY 2018 Performance Based Bonus authorized under EO No. 80, s. 2012 and EO No. 201, s. 2016 of eligible personnel.",
NCA-ROXII-20-0004796,REG,04/02/20 09:47:08,04/03/2020 16:38:25,Department of Education (DepEd),Office of the Secretary,Lagao National High School,"2,512,666.00","To cover the FY 2018 Performance Based Bonus authorized under EO No. 80, s. 2012 and EO No. 201, s. 2016 of eligible personnel.",
NCA-ROXII-20-0004796,REG,04/02/20 09:47:08,04/03/2020 16:38:25,Department of Education (DepEd),Office of the Secretary,General Santos City National High School,"6,141,792.00","To cover the FY 2018 Performance Based Bonus authorized under EO No. 80, s. 2012 and EO No. 201, s. 2016 of eligible personnel.",
NCA-ROXII-20-0004796,REG,04/02/20 09:47:08,04/03/2020 16:38:25,Department of Education (DepEd),Office of the Secretary,New Society National High School,"1,932,300.00","To cover the FY 2018 Performance Based Bonus authorized under EO No. 80, s. 2012 and EO No. 201, s. 2016 of eligible personnel.",
NCA-ROIX-20-0004794,REG,04/02/20 08:37:52,04/02/2020 14:00:59,Department of Education (DepEd),Office of the Secretary,Ayala National High School,"1,068,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0004793,REG,04/02/20 08:37:51,04/02/2020 14:00:59,Department of Education (DepEd),Office of the Secretary,Naga National High School,"414,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0004792,REG,04/02/20 08:37:51,04/02/2020 14:00:58,Department of Education (DepEd),Office of the Secretary,Culianan National High School,"1,536,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0004791,REG,04/02/20 08:37:50,04/02/2020 14:00:58,Department of Education (DepEd),Office of the Secretary,Regional Science High School (Zamboanga Regional Science High School),"128,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0004790,REG,04/02/20 08:37:50,04/02/2020 14:00:58,Department of Health (DOH),Office of the Secretary,Sulu Sanitarium,"2,888,000.00",To cover additional operating requirements for FY 2020,
NCA-BMB-B-20-0004789,REG,04/02/20 02:13:39,04/02/2020 13:05:48,Department of Social Welfare and Development (DSWD),Office of the Secretary,Central Office,"100,000,000,000.00",To cover the cash requirements for the implementation of Social Amelioration Programs per Republic Act No. 11469.,
NCA-BMB-C-20-0004788,SA,04/01/20 17:36:57,04/03/2020 13:29:56,Budgetary Support to Government Corporations (BSGC),Land Bank of the Philippines,,"500,000,000.00",To cover the funding requirements for the implementation of the Rice Competitiveness Enhancement Fund Programs pursuant to Section 13 of the Republic Act No. 11203 or the Rice Liberalization Act.,
NCA-BMB-D-20-0004787,PY,04/01/20 17:07:22,04/03/2020 13:28:32,Department of National Defense (DND),Office of the Secretary - Proper,,"7,399,438.00",To cover the funding requirements for the payment of due and demandable Accounts Payable.,
NCA-BMB-D-20-0004786,REG,04/01/20 17:07:22,04/03/2020 13:28:32,Department of the Interior and Local Government (DILG),Philippine National Police,Central Office,"506,721,450.00",To cover the funding requirements for the prevention of the Coronavirus Disease 2019 (COVID-19).,
NCA-BMB-D-20-0004786,REG,04/01/20 17:07:22,04/03/2020 13:28:32,Department of the Interior and Local Government (DILG),Bureau of Fire Protection,Regional Office - NCR,"3,367,750.00",To cover the funding requirements for the prevention of the Coronavirus Disease 2019 (COVID-19).,
NCA-BMB-D-20-0004786,REG,04/01/20 17:07:22,04/03/2020 13:28:32,Department of the Interior and Local Government (DILG),Bureau of Jail Management and Penology,Regional Office - NCR,"10,538,350.00",To cover the funding requirements for the prevention of the Coronavirus Disease 2019 (COVID-19).,
NCA-BMB-D-20-0004785,REG,04/01/20 17:07:22,04/03/2020 13:28:32,Department of the Interior and Local Government (DILG),National Youth Commission,,"1,618,731.00",To cover payment of the FY 2018 Performance-Based Bonus (PBB) to 79 qualified officials and employees of the NYC per Annex A1,
NCA-BMB-D-20-0004784,PY,04/01/20 17:07:21,04/03/2020 13:28:32,Department of the Interior and Local Government (DILG),Philippine National Police,Regional Office - IVA,"5,188,132.00",To cover the payment of due and demandable accounts payable.,
NCA-BMB-D-20-0004783,REG,04/01/20 17:07:21,04/03/2020 13:28:32,Department of National Defense (DND),Philippine Veterans Affairs Office (PVAO) - Proper,,"4,222,716.00",To cover the funding requirements for the grant of FY 2018 Performance-Based Bonus.,
NCA-BMB-D-20-0004782,PY,04/01/20 17:07:20,04/03/2020 13:28:31,Department of National Defense (DND),"General Headquarters, AFP and AFP-Wide Service Support Units (AFPWSSUS)",General Headquarters - Proper,"1,518,083,677.00",To cover the funding requirements for the payment of Command and Control Fixed Wing Aircraft (Turbo Prop) Acquisition Project for the Philippine Air Force under the Revised Armed Forces of the Philippines Modernization Program.,
NCA-BMB-D-20-0004781,TR,04/01/20 17:07:20,04/03/2020 13:28:31,Department of the Interior and Local Government (DILG),National Youth Commission,,"214,861.00",To cover utilization of trust receipt collections.,
NCA-ROIX-20-0004780,REG,04/01/20 15:41:03,04/01/2020 16:28:48,Department of Education (DepEd),Office of the Secretary,Zamboanga City National High School (West),"782,000.00",To cover the payment of the FY 2020 requirements for salaries and other compensation of five (5) newly-filled positions,
NCA-ROIX-20-0004779,REG,04/01/20 15:32:43,04/01/2020 16:28:48,Department of Education (DepEd),Office of the Secretary,Maria Clara L. Lobregat National High School (Divisoria National High School),"129,000.00",To cover additional operating requirements for FY 2020,
NCA-ROXII-20-0004778,REG,04/01/20 15:31:33,04/02/2020 13:38:34,Department of Education (DepEd),Office of the Secretary,Pigcawayan National High School,"1,615,960.00",To cover the requirements of FY 2018 Performance-Based Bonus (PBB).,
NCA-ROXII-20-0004778,REG,04/01/20 15:31:33,04/02/2020 13:38:34,Department of Education (DepEd),Office of the Secretary,M'lang National High School,"1,927,741.00",To cover the requirements of FY 2018 Performance-Based Bonus (PBB).,
NCA-ROXII-20-0004778,REG,04/01/20 15:31:33,04/02/2020 13:38:34,Department of Education (DepEd),Office of the Secretary,Pikit National High School,"1,861,289.00",To cover the requirements of FY 2018 Performance-Based Bonus (PBB).,
NCA-ROXII-20-0004778,REG,04/01/20 15:31:33,04/02/2020 13:38:34,Department of Education (DepEd),Office of the Secretary,Tulunan National High School,"1,366,117.00",To cover the requirements of FY 2018 Performance-Based Bonus (PBB).,
NCA-ROXII-20-0004778,REG,04/01/20 15:31:33,04/02/2020 13:38:34,Department of Education (DepEd),Office of the Secretary,President Roxas National High School,"704,065.00",To cover the requirements of FY 2018 Performance-Based Bonus (PBB).,
